Category,Forum Name,Title,Tags,Ravelry Link/Message,Catbox Link,Date Created
Designer A-F,aegyoknit,Gujo collar,,https://www.ravelry.com/patterns/library/gujo-collar,[<Message id=1384239089724686378 channel=<Thread id=1384239089724686378 name='Gujo collar' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:56
Designer A-F,aegyoknit,gerda sweater,,https://www.ravelry.com/patterns/library/gerda-sweater-2,[<Message id=1384239085580849403 channel=<Thread id=1384239085580849403 name='gerda sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:55
Designer A-F,aegyoknit,goreum bag,,https://www.ravelry.com/patterns/library/goreum-bag,[<Message id=1384239087904358400 channel=<Thread id=1384239087904358400 name='goreum bag' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:56
Designer A-F,aegyoknit,jeol sweater,,https://www.ravelry.com/patterns/library/jeol-sweater,[<Message id=1384239121655922828 channel=<Thread id=1384239121655922828 name='jeol sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:32:04
Designer A-F,aegyoknit,narae cropped sweater,,https://www.ravelry.com/patterns/library/narae-cropped-sweater,[<Message id=1384239125363949598 channel=<Thread id=1384239125363949598 name='narae cropped sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:32:05
Designer A-F,aegyoknit,jeju sweater,,https://www.ravelry.com/patterns/library/jeju-sweater-2,[<Message id=1384239118879559741 channel=<Thread id=1384239118879559741 name='jeju sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:32:03
Designer A-F,aegyoknit,Haraboji Cardigan,,https://www.ravelry.com/patterns/library/haraboji-cardigan,[<Message id=1384239095525544100 channel=<Thread id=1384239095525544100 name='Haraboji Cardigan' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:58
Designer A-F,aegyoknit,eurus sweater,,https://www.ravelry.com/patterns/library/eurus-sweater,[<Message id=1384239084175888424 channel=<Thread id=1384239084175888424 name='eurus sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:55
Designer A-F,aegyoknit,busan tee,,https://www.ravelry.com/patterns/library/busan-tee,[<Message id=1384239081336344718 channel=<Thread id=1384239081336344718 name='busan tee' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:54
Designer A-F,aegyoknit,gujo sweater,,https://www.ravelry.com/patterns/library/gujo-sweater,[<Message id=1384239091964711053 channel=<Thread id=1384239091964711053 name='gujo sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 18:31:57
